open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,414.71,415.21,414.05,414.41,3373.151,1748736899999,1398640.51622,5598,1543.234,639903.12600,0
1748736900000,414.46,415.27,413.73,414.28,2537.269,1748737799999,1052106.17297,4603,1437.482,596139.44519,0
1748737800000,414.27,414.30,413.35,413.79,1954.861,1748738699999,809011.94546,3719,979.067,405211.37682,0
1748738700000,413.80,414.45,413.53,413.83,1773.857,1748739599999,734148.12457,3070,798.770,330604.58999,0
1748739600000,413.82,414.40,413.18,414.29,1737.579,1748740499999,718880.85252,3770,746.806,309022.03704,0
1748740500000,414.30,414.99,413.05,413.99,1969.240,1748741399999,815181.85386,3720,1127.052,466571.58403,0
1748741400000,414.00,414.10,413.02,413.36,1590.635,1748742299999,658042.92410,3727,917.405,379564.49472,0
1748742300000,413.37,413.75,411.22,413.04,4330.171,1748743199999,1785811.53200,5726,2003.343,826400.24289,0
1748743200000,413.08,413.08,409.66,409.76,7367.899,1748744099999,3028647.72099,9331,3241.620,1333097.80691,0
1748744100000,409.77,411.84,409.77,411.28,2854.929,1748744999999,1172440.25540,5436,1872.126,768887.55025,0
1748745000000,411.28,412.63,411.28,412.61,1830.615,1748745899999,754164.17348,3487,1083.609,446400.77184,0
1748745900000,412.62,414.00,411.51,411.68,3132.397,1748746799999,1293898.13667,4676,1926.513,796045.51375,0
1748746800000,411.69,411.86,409.20,409.20,3696.579,1748747699999,1515852.02499,5565,1494.447,612771.09765,0
1748747700000,409.20,409.75,407.63,409.12,4005.835,1748748599999,1637323.45763,5826,2120.355,866750.22094,0
1748748600000,409.12,409.58,408.75,408.80,1612.851,1748749499999,660013.79552,3320,869.756,355962.30274,0
1748749500000,408.81,409.60,408.51,408.67,1685.894,1748750399999,689468.70532,3190,822.085,336229.78603,0
1748750400000,408.68,409.20,408.19,408.58,1572.352,1748751299999,642768.39592,4224,670.333,274007.48574,0
1748751300000,408.59,409.18,408.53,408.99,1151.550,1748752199999,470817.53658,2438,559.788,228852.82397,0
1748752200000,409.00,411.01,409.00,410.88,2494.681,1748753099999,1023309.35211,4519,1672.604,685984.40944,0
1748753100000,410.90,411.30,409.40,409.44,1864.866,1748753999999,765154.69089,3620,860.664,353149.15154,0
1748754000000,409.45,410.85,408.22,408.42,3112.395,1748754899999,1274664.46986,5039,1586.020,649544.30399,0
1748754900000,408.43,408.50,407.00,407.22,2235.341,1748755799999,911358.49583,3474,800.161,326197.04325,0
1748755800000,407.22,407.40,406.07,406.20,2771.607,1748756699999,1127182.75349,4357,1067.716,434222.92736,0
1748756700000,406.21,406.21,405.03,405.58,3177.444,1748757599999,1288460.31217,4605,1542.561,625452.42073,0
1748757600000,405.58,405.75,404.71,405.10,3283.018,1748758499999,1330388.03117,4842,1442.563,584613.08579,0
1748758500000,405.10,405.19,403.72,404.62,3081.247,1748759399999,1245817.13291,4775,1621.921,655856.62324,0
1748759400000,404.62,405.14,404.35,404.48,1366.651,1748760299999,553178.53533,3385,773.743,313176.74081,0
1748760300000,404.49,404.75,402.78,402.99,1683.810,1748761199999,679309.64054,3716,781.065,315110.37106,0
1748761200000,402.99,403.72,402.02,403.72,4245.666,1748762099999,1709668.18105,6225,2368.674,954098.65878,0
1748762100000,403.73,403.99,402.88,403.78,1954.985,1748762999999,788903.60750,4391,1063.069,428981.79973,0
1748763000000,403.78,403.98,402.91,403.43,1808.656,1748763899999,729885.84889,4035,936.569,377935.27238,0
1748763900000,403.44,403.62,402.50,402.68,1923.038,1748764799999,775040.12435,3213,824.047,332099.44779,0
1748764800000,402.69,402.69,401.00,401.79,3948.112,1748765699999,1585746.27938,6416,1533.158,615723.96655,0
1748765700000,401.80,402.15,400.55,401.00,2652.984,1748766599999,1064304.30827,4949,886.678,355844.74527,0
1748766600000,400.99,402.32,400.21,401.59,5136.264,1748767499999,2060690.79918,7259,3130.579,1256387.04488,0
1748767500000,401.59,401.82,400.46,401.81,2672.152,1748768399999,1072199.76897,4563,1258.766,505165.34312,0
1748768400000,401.82,403.23,400.34,400.46,4881.541,1748769299999,1961600.80032,7157,2886.132,1160331.38648,0
1748769300000,400.46,401.01,398.35,398.66,6537.306,1748770199999,2611912.76063,8863,2409.195,962729.27359,0
1748770200000,398.67,399.47,397.74,399.19,4542.856,1748771099999,1810940.64920,8399,2424.488,966542.67256,0
1748771100000,399.19,399.51,397.86,398.40,3113.328,1748771999999,1240696.28824,6316,1354.113,539681.06612,0
1748772000000,398.39,398.81,396.61,397.34,5724.531,1748772899999,2276054.89512,6597,1805.367,717971.62661,0
1748772900000,397.31,398.32,396.57,397.89,3624.148,1748773799999,1440295.19124,6643,1985.954,789272.88732,0
1748773800000,397.89,398.35,396.77,397.84,2797.507,1748774699999,1111808.78558,5355,1052.309,418233.48360,0
1748774700000,397.84,398.17,396.95,398.09,1562.650,1748775599999,621345.66958,3515,591.575,235248.41644,0
1748775600000,398.09,399.14,397.53,399.13,2927.885,1748776499999,1166163.58675,4993,1583.383,630566.08790,0
1748776500000,399.14,400.56,398.92,400.39,3759.662,1748777399999,1504115.87959,6086,2079.743,831973.42027,0
