open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730419200000,70321.90,70481.80,70288.50,70481.70,1526.627,1730420099999,107430846.98550,28046,1002.736,70564554.49140,0
1730420100000,70481.80,70500.00,70387.00,70450.70,1015.147,1730420999999,71519167.57070,17793,457.975,32265343.38530,0
1730421000000,70450.70,70450.80,70160.90,70275.10,2458.282,1730421899999,172705659.53400,32297,987.439,69374261.89610,0
1730421900000,70275.10,70405.70,70188.60,70188.60,1293.483,1730422799999,90941789.74260,21794,674.820,47446110.72930,0
1730422800000,70188.70,70384.60,70185.10,70359.70,990.996,1730423699999,69628748.50600,20682,639.668,44946171.38750,0
1730423700000,70359.70,70359.70,70028.00,70070.10,2487.947,1730424599999,174463787.90730,34204,962.929,67517941.30820,0
1730424600000,70070.10,70070.10,69522.70,69945.50,11490.663,1730425499999,801605519.26440,115334,4260.801,297293314.58720,0
1730425500000,69945.50,70085.00,69312.20,69424.90,8125.370,1730426399999,565394337.81150,107233,3270.254,227650525.37570,0
1730426400000,69424.90,69562.80,68870.40,69069.20,13644.969,1730427299999,943311701.94950,158945,5935.398,410348594.50390,0
1730427300000,69069.20,69460.50,69062.40,69408.20,5721.269,1730428199999,396364404.55990,78169,3336.247,231132793.48900,0
1730428200000,69408.30,69525.00,69322.50,69340.90,2604.139,1730429099999,180796255.68600,47275,1220.110,84712566.18190,0
1730429100000,69340.90,69621.20,69155.10,69592.70,3674.992,1730429999999,255157402.58890,48754,1777.748,123429386.62190,0
1730430000000,69592.70,69663.80,69509.00,69579.10,1808.912,1730430899999,125879791.81040,33132,897.805,62484497.69670,0
1730430900000,69579.10,69739.00,69554.80,69662.10,1447.181,1730431799999,100816054.47410,27325,794.806,55370687.27360,0
1730431800000,69662.00,69688.00,69477.00,69492.10,1723.603,1730432699999,119903551.55220,28900,649.480,45186276.46590,0
1730432700000,69492.10,69516.30,69357.10,69397.70,1729.589,1730433599999,120069844.92790,30085,727.793,50521772.46260,0
1730433600000,69397.70,69481.60,69363.90,69459.30,1093.650,1730434499999,75916471.73460,22178,631.981,43872500.19860,0
1730434500000,69459.30,69535.50,69382.90,69526.10,874.292,1730435399999,60741399.92800,19436,496.597,34504697.68090,0
1730435400000,69526.10,69600.00,69508.10,69599.90,766.179,1730436299999,53293998.52750,14413,451.384,31398459.98060,0
1730436300000,69599.90,69650.00,69556.60,69618.50,809.778,1730437199999,56367989.57620,18334,369.766,25740734.34810,0
1730437200000,69618.60,69662.70,69549.30,69577.50,849.051,1730438099999,59089725.61980,16584,369.113,25690617.63520,0
1730438100000,69577.50,69666.60,69549.30,69643.90,621.891,1730438999999,43292022.94500,13877,302.654,21069175.55220,0
1730439000000,69643.90,69678.50,69602.40,69659.20,669.178,1730439899999,46606502.30680,13960,337.567,23512156.79780,0
1730439900000,69659.10,69702.50,69606.10,69630.40,726.652,1730440799999,50605640.69890,13418,318.485,22182260.20820,0
1730440800000,69630.40,69721.80,69425.00,69430.10,1896.319,1730441699999,131899027.33790,28688,619.760,43117342.82750,0
1730441700000,69430.10,69490.00,69333.00,69341.00,2002.549,1730442599999,138995194.22380,28898,924.757,64194638.22820,0
1730442600000,69341.00,69547.30,69303.80,69467.80,1763.756,1730443499999,122448246.79780,28392,1047.534,72737974.34280,0
1730443500000,69467.70,69570.70,69237.90,69240.10,1973.871,1730444399999,136909516.24960,29322,715.080,49614336.40870,0
1730444400000,69240.00,69364.10,69100.90,69124.80,3295.212,1730445299999,228140801.01950,45174,1673.990,115917720.49000,0
1730445300000,69124.90,69337.20,69111.00,69284.80,1903.590,1730446199999,131760375.53520,29530,1241.411,85935026.60530,0
1730446200000,69284.70,69444.00,69284.70,69321.70,1486.076,1730447099999,103072812.93890,25029,748.043,51882066.65950,0
1730447100000,69321.70,69437.50,69255.80,69301.00,1247.452,1730447999999,86502743.98140,21200,596.767,41382985.82710,0
1730448000000,69301.00,69477.00,69270.00,69470.00,1754.546,1730448899999,121653817.60820,24970,914.941,63449084.04470,0
1730448900000,69470.00,69564.90,69440.00,69490.80,1567.694,1730449799999,108951833.58220,27967,885.670,61554905.91010,0
1730449800000,69490.80,69544.30,69376.00,69458.30,918.118,1730450699999,63758469.62160,20467,385.996,26804758.17080,0
1730450700000,69458.60,69525.00,69325.00,69399.00,978.515,1730451599999,67942474.49650,19834,456.347,31689015.70730,0
1730451600000,69399.10,69514.70,69338.30,69506.40,888.847,1730452499999,61719575.60440,17911,412.434,28644002.49830,0
1730452500000,69506.40,69522.90,69415.80,69442.70,477.194,1730453399999,33145936.16150,12403,217.882,15134160.59980,0
