open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,0.209670,0.209950,0.206540,0.207300,253104967,1754007299999,52712740.185950,71653,111233878,23158243.038830,0
1754007300000,0.207310,0.210000,0.207120,0.208340,141924410,1754008199999,29615165.731910,55013,72638592,15158229.404410,0
1754008200000,0.208340,0.208790,0.206800,0.207200,96945894,1754009099999,20149867.462030,49857,49751596,10343306.498560,0
1754009100000,0.207200,0.208390,0.203200,0.207880,495615021,1754009999999,101771073.842350,141146,206292707,42378938.658380,0
1754010000000,0.207880,0.208650,0.205110,0.205440,175872097,1754010899999,36392735.743600,65514,81185802,16801785.539560,0
1754010900000,0.205440,0.207570,0.204930,0.206840,146552974,1754011799999,30253816.834050,59343,72949137,15059231.803060,0
1754011800000,0.206840,0.208290,0.206040,0.207530,104602174,1754012699999,21688581.288530,43482,54339760,11268158.461730,0
1754012700000,0.207530,0.208050,0.206070,0.207280,79041332,1754013599999,16357875.838800,34997,36458861,7548089.822950,0
1754013600000,0.207270,0.208870,0.206450,0.208770,97871803,1754014499999,20347074.580060,44072,51243244,10654624.739360,0
1754014500000,0.208760,0.209620,0.208100,0.208350,121975536,1754015399999,25488168.197550,31763,67444344,14093805.425370,0
1754015400000,0.208350,0.209600,0.207960,0.209000,65402488,1754016299999,13663698.559970,24705,34001073,7104802.403840,0
1754016300000,0.209010,0.209860,0.208810,0.209430,50465564,1754017199999,10566883.746590,19574,31115933,6515477.699010,0
1754017200000,0.209430,0.209550,0.208700,0.208860,45871101,1754018099999,9591519.960180,19497,24047898,5028740.594860,0
1754018100000,0.208850,0.210480,0.208750,0.210250,73045458,1754018999999,15337951.389150,23174,46778686,9822105.745070,0
1754019000000,0.210240,0.210470,0.209580,0.209720,72437510,1754019899999,15217486.701340,19801,38319358,8051671.840450,0
1754019900000,0.209730,0.210060,0.208670,0.209030,67694988,1754020799999,14152403.874650,18861,24546291,5132911.680790,0
