open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706745600000,24.333,24.430,24.319,24.407,76234.25,1706746499999,1858610.65767,5480,34907.27,851024.80077,0
1706746500000,24.407,24.421,24.203,24.232,101820.08,1706747399999,2474191.54592,6509,43620.81,1060362.47470,0
1706747400000,24.233,24.265,24.060,24.158,142360.86,1706748299999,3437682.70954,8855,64081.34,1547161.51301,0
1706748300000,24.160,24.256,24.151,24.180,72574.15,1706749199999,1756549.21611,4795,41733.13,1010044.15470,0
1706749200000,24.180,24.189,23.890,23.964,262808.87,1706750099999,6308245.45962,12494,109480.99,2628491.42485,0
1706750100000,23.964,23.972,23.683,23.878,379369.61,1706750999999,9046060.75640,22245,201491.24,4804872.86104,0
1706751000000,23.878,23.935,23.722,23.830,189845.19,1706751899999,4522419.07951,10924,97789.62,2329985.52679,0
1706751900000,23.828,23.859,23.529,23.645,317453.08,1706752799999,7502876.22563,15629,133793.68,3162671.06494,0
1706752800000,23.647,23.770,23.613,23.756,159730.45,1706753699999,3786132.97534,9442,84668.32,2006622.47260,0
1706753700000,23.754,23.826,23.690,23.749,108241.73,1706754599999,2572033.03638,5876,55736.20,1324835.09632,0
1706754600000,23.749,23.795,23.671,23.773,62469.15,1706755499999,1482889.48168,4531,35205.50,835616.60454,0
1706755500000,23.771,23.787,23.666,23.750,73722.32,1706756399999,1749581.23753,4777,31627.00,750720.08070,0
1706756400000,23.750,23.784,23.689,23.733,52459.76,1706757299999,1244961.04140,3531,27805.97,659872.28122,0
1706757300000,23.732,23.734,23.639,23.715,97111.73,1706758199999,2300538.83949,4997,46575.43,1103153.10695,0
1706758200000,23.714,23.772,23.628,23.748,87157.72,1706759099999,2065133.79318,5462,42477.13,1006472.90502,0
1706759100000,23.747,23.793,23.633,23.646,88924.94,1706759999999,2108664.56238,5100,51660.69,1224900.34777,0
1706760000000,23.643,23.713,23.609,23.682,77790.95,1706760899999,1840862.68027,5598,41798.10,989068.61909,0
1706760900000,23.686,23.731,23.639,23.678,56309.06,1706761799999,1333951.03093,4120,33478.01,792975.28880,0
1706761800000,23.680,23.752,23.485,23.750,174671.38,1706762699999,4126182.35689,9921,85657.24,2023851.25430,0
1706762700000,23.750,23.772,23.704,23.751,71080.54,1706763599999,1687694.14103,5524,35764.69,849131.76462,0
1706763600000,23.750,23.845,23.716,23.828,86186.71,1706764499999,2049517.21762,5275,51676.67,1229296.28406,0
1706764500000,23.831,23.848,23.690,23.704,97621.39,1706765399999,2321577.80684,5591,39940.73,949911.05699,0
1706765400000,23.704,23.794,23.683,23.756,58173.93,1706766299999,1380614.43590,4057,32746.06,777026.11480,0
1706766300000,23.757,23.812,23.750,23.784,35471.26,1706767199999,843935.60195,2776,16239.78,386383.91677,0
1706767200000,23.783,23.825,23.740,23.808,58200.57,1706768099999,1384715.67899,4107,28213.60,671257.87946,0
1706768100000,23.807,23.821,23.683,23.733,70842.72,1706768999999,1682340.26383,4813,33364.63,792326.54054,0
1706769000000,23.735,23.820,23.722,23.792,50820.98,1706769899999,1208659.72921,4041,25501.70,606515.50252,0
1706769900000,23.791,23.820,23.768,23.806,36260.19,1706770799999,862687.61089,2788,16726.99,397971.52726,0
1706770800000,23.805,23.847,23.761,23.830,53908.63,1706771699999,1283234.79145,3258,29530.15,703144.00560,0
1706771700000,23.830,23.884,23.812,23.859,64035.10,1706772599999,1527288.51051,3685,28513.59,680188.07281,0
1706772600000,23.859,23.942,23.856,23.894,69217.09,1706773499999,1654731.66034,5038,35411.83,846546.88965,0
1706773500000,23.894,23.938,23.845,23.862,52373.99,1706774399999,1251089.99603,3681,26416.97,631016.08458,0
1706774400000,23.862,23.914,23.800,23.836,64801.94,1706775299999,1545642.91691,4505,27432.37,654264.10424,0
1706775300000,23.836,23.918,23.818,23.886,52069.39,1706776199999,1243174.12598,3646,25086.90,598878.07498,0
1706776200000,23.886,23.941,23.854,23.938,46693.30,1706777099999,1115747.58989,3447,24993.53,597277.05691,0
1706777100000,23.937,23.937,23.881,23.906,38751.78,1706777999999,926415.35301,3168,19917.26,476120.98737,0
1706778000000,23.906,23.955,23.875,23.950,68886.46,1706778899999,1648224.70239,4457,31468.08,752914.54603,0
1706778900000,23.951,24.037,23.911,23.984,190061.57,1706779799999,4558074.61026,10569,92616.66,2220883.53788,0
1706779800000,23.982,24.028,23.905,23.942,170268.67,1706780699999,4082797.04696,7242,89345.62,2142139.95346,0
1706780700000,23.942,23.984,23.892,23.981,67273.13,1706781599999,1609734.14851,4147,25893.52,619617.59843,0
1706781600000,23.981,24.031,23.913,24.030,57397.23,1706782499999,1376269.58892,4190,28942.07,694029.18457,0
1706782500000,24.031,24.052,23.999,24.013,61079.73,1706783399999,1467505.27194,4614,23475.43,564094.77128,0
1706783400000,24.013,24.030,23.903,23.910,56231.52,1706784299999,1347637.35651,3734,25428.13,609425.09512,0
1706784300000,23.909,23.931,23.878,23.916,40166.20,1706785199999,960109.26373,3068,20155.18,481768.90388,0
1706785200000,23.917,23.948,23.902,23.933,36738.53,1706786099999,878830.41940,2802,19271.59,461004.91707,0
1706786100000,23.932,23.932,23.820,23.864,54453.95,1706786999999,1299484.69828,3747,19064.35,454956.93335,0
1706787000000,23.863,23.902,23.838,23.860,33817.89,1706787899999,807294.43617,2784,17314.14,413291.48969,0
1706787900000,23.862,23.862,23.651,23.689,320447.93,1706788799999,7603139.84440,12661,117803.29,2794297.00910,0
1706788800000,23.689,23.773,23.603,23.768,154400.62,1706789699999,3654761.00805,8439,78931.91,1868640.20113,0
1706789700000,23.769,23.770,23.692,23.763,59842.60,1706790599999,1419759.73345,3952,31966.26,758340.08375,0
1706790600000,23.762,23.770,23.701,23.758,53166.15,1706791499999,1262536.14795,3696,29597.11,702808.95038,0
1706791500000,23.759,23.782,23.690,23.733,31110.48,1706792399999,738280.20761,3070,14265.71,338540.84643,0
1706792400000,23.732,23.737,23.630,23.664,83343.74,1706793299999,1973034.67139,5124,42931.02,1016443.51137,0
1706793300000,23.664,23.820,23.637,23.794,71398.70,1706794199999,1695612.18243,4628,42546.73,1010392.28327,0
1706794200000,23.795,23.826,23.676,23.694,80994.55,1706795099999,1924093.88156,5871,34031.37,808463.68681,0
1706795100000,23.697,23.722,23.677,23.706,49387.08,1706795999999,1170704.15197,3567,24079.24,570828.86608,0
1706796000000,23.707,23.741,23.651,23.730,54910.25,1706796899999,1301146.09026,4258,23502.70,557011.09150,0
1706796900000,23.730,23.826,23.726,23.796,94515.57,1706797799999,2248610.01861,6069,40539.95,964244.30243,0
1706797800000,23.798,24.020,23.790,23.980,197492.40,1706798699999,4726171.20516,10334,105814.06,2531392.09325,0
1706798700000,23.979,23.979,23.880,23.972,77174.11,1706799599999,1847290.01902,5827,35007.20,838001.46418,0
1706799600000,23.973,24.167,23.951,24.123,157151.44,1706800499999,3782511.11315,9144,86881.60,2091008.74636,0
1706800500000,24.122,24.150,24.025,24.149,92111.15,1706801399999,2217155.14951,6124,40226.85,968351.50471,0
1706801400000,24.149,24.215,24.058,24.061,131677.34,1706802299999,3179297.18181,8859,59671.88,1441165.33398,0
1706802300000,24.065,24.579,24.008,24.266,567112.05,1706803199999,13826329.03346,27261,311442.92,7588802.36338,0
1706803200000,24.268,24.423,24.236,24.336,235461.05,1706804099999,5725106.56465,13423,112701.53,2740037.69468,0
1706804100000,24.336,24.361,24.163,24.262,139165.73,1706804999999,3372305.71798,8776,76142.27,1845487.40827,0
1706805000000,24.263,24.273,24.031,24.238,155946.48,1706805899999,3765265.50660,9140,67713.77,1634753.96618,0
1706805900000,24.237,24.318,24.231,24.283,96068.00,1706806799999,2332894.98271,5307,48969.46,1189186.49527,0
1706806800000,24.284,24.847,24.260,24.733,541019.95,1706807699999,13329090.05303,28599,300596.66,7400532.97233,0
1706807700000,24.730,24.931,24.671,24.884,266874.25,1706808599999,6626236.84415,14076,123992.58,3077821.50263,0
