open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756684800000,200.5700,200.8100,199.1000,199.9500,716651.21,1756685699999,143337520.428200,64222,306042.06,61225952.600800,0
1756685700000,199.9500,200.4300,198.5200,198.9800,581549.37,1756686599999,115929999.414930,60774,253244.63,50493955.993500,0
1756686600000,198.9900,200.3800,198.3900,200.1300,538472.82,1756687499999,107306247.163490,60862,318689.96,63552387.877900,0
1756687500000,200.1400,201.3000,199.6800,200.3500,494737.21,1756688399999,99229131.867300,56218,278716.95,55906343.435700,0
1756688400000,200.3500,201.0000,199.7800,200.4100,309201.11,1756689299999,61967078.336100,43096,131793.72,26420256.134100,0
1756689300000,200.4100,201.9200,199.8000,201.8200,291398.79,1756690199999,58578585.005830,45987,166915.61,33567230.645830,0
1756690200000,201.8300,202.4300,201.2700,201.8900,426492.56,1756691099999,86078610.161200,54778,192901.88,38940740.926400,0
1756691100000,201.8900,202.2600,200.5800,200.8600,320600.62,1756691999999,64509440.274400,43890,135967.02,27371246.034900,0
1756692000000,200.8700,201.1800,199.8800,200.1500,361576.87,1756692899999,72468037.735100,43362,161997.54,32468711.534900,0
1756692900000,200.1600,200.1900,197.6200,198.8900,916188.05,1756693799999,182120425.037120,80715,353457.11,70273642.926900,0
1756693800000,198.9000,198.9500,197.8000,198.2600,456512.01,1756694699999,90480321.869700,52055,215264.94,42662719.549100,0
1756694700000,198.2600,198.5100,195.8100,197.4400,1213899.33,1756695599999,239364051.762250,108310,503783.25,99356165.902800,0
1756695600000,197.4400,198.0900,196.9000,197.0800,377917.59,1756696499999,74652569.526100,52621,213420.40,42166727.025900,0
1756696500000,197.0800,197.9200,196.8100,197.9100,306989.31,1756697399999,60625901.954000,37193,168505.26,33288076.100900,0
1756697400000,197.9100,198.4400,197.3200,198.2300,258932.59,1756698299999,51272693.976900,33671,155550.17,30809354.743900,0
1756698300000,198.2200,198.6500,197.7200,198.3000,277109.06,1756699199999,54937723.909390,30270,150365.74,29808237.699390,0
1756699200000,198.3000,198.3900,197.5000,198.0400,230921.94,1756700099999,45719924.438300,31375,114578.33,22686205.064700,0
1756700100000,198.0500,198.2500,197.1600,197.9000,307003.31,1756700999999,60696713.933600,34158,144025.09,28487987.625800,0
1756701000000,197.9000,197.9600,196.8100,196.9900,369623.74,1756701899999,72907664.321450,43643,118771.35,23427653.329800,0
1756701900000,197.0000,197.6900,196.6900,197.4400,191206.42,1756702799999,37704900.047800,28268,100677.84,19857082.216300,0
1756702800000,197.4400,197.8900,196.5500,197.1000,239184.39,1756703699999,47153527.688500,36060,122470.20,24148348.102800,0
1756703700000,197.1000,198.1700,196.6900,197.9600,239377.76,1756704599999,47299890.943000,34111,121195.78,23943658.422900,0
1756704600000,197.9600,198.8700,197.8000,198.7100,291995.88,1756705499999,57950372.062340,34272,166417.89,33031372.591040,0
1756705500000,198.7000,198.8400,198.1800,198.3100,149514.87,1756706399999,29672817.844700,22092,68458.14,13587221.929800,0
1756706400000,198.3100,198.5100,197.4200,198.0200,238202.84,1756707299999,47141976.120900,32827,120139.32,23778207.277400,0
1756707300000,198.0200,199.0800,197.6700,198.7400,425817.41,1756708199999,84442731.475200,34955,298490.90,59168347.640100,0
1756708200000,198.7400,199.2800,198.3900,199.2700,224162.40,1756709099999,44573763.108100,29379,107654.93,21410943.145400,0
1756709100000,199.2800,199.3700,198.6700,198.6900,157049.03,1756709999999,31249880.734400,23912,59268.02,11797111.887200,0
1756710000000,198.6800,199.1900,197.8700,197.9500,324787.07,1756710899999,64464859.075100,33892,134864.43,26769242.046200,0
1756710900000,197.9500,200.0000,197.7400,199.8100,519570.57,1756711799999,103253821.872900,50322,284903.84,56645486.274800,0
1756711800000,199.8000,201.2100,199.6900,200.5200,587346.72,1756712699999,117727879.590250,64745,327882.61,65737547.240750,0
1756712700000,200.5200,202.8500,200.5100,202.8400,770423.16,1756713599999,155450390.399190,78317,430456.54,86854387.856990,0
1756713600000,202.8300,204.4500,202.8100,203.1200,1136204.32,1756714499999,231441197.080840,110097,523479.25,106634320.473640,0
1756714500000,203.1100,203.4000,202.3000,202.3500,502518.48,1756715399999,101933580.036800,56518,197732.40,40112036.817700,0
1756715400000,202.3600,203.0000,202.3200,202.8400,194054.06,1756716299999,39335087.720300,35384,91595.79,18567604.159600,0
1756716300000,202.8400,203.5000,202.5700,203.0000,201777.61,1756717199999,40953244.242700,33870,90353.37,18342900.423900,0
1756717200000,202.9900,203.6600,202.8300,203.6200,260187.69,1756718099999,52898046.662700,40421,155521.67,31618292.413500,0
1756718100000,203.6300,203.6700,202.6200,202.7000,150277.04,1756718999999,30517855.124200,27588,44771.99,9092899.710000,0
1756719000000,202.6900,202.9400,201.7400,201.9900,380599.25,1756719899999,76945541.401890,40434,144770.56,29274262.530100,0
1756719900000,201.9800,202.0300,200.8800,200.9300,410692.66,1756720799999,82734357.305300,42591,185014.98,37278038.079100,0
1756720800000,200.9300,201.5000,200.5500,201.2900,338081.75,1756721699999,67948198.394300,41059,179581.91,36099550.593300,0
1756721700000,201.2800,201.3900,200.1300,200.2500,213438.63,1756722599999,42818181.424100,32004,106888.52,21444010.160700,0
1756722600000,200.2600,200.3000,198.2300,199.0100,655134.75,1756723499999,130456671.566620,77151,283300.93,56393605.011800,0
1756723500000,199.0000,199.4000,198.4000,199.3900,298690.03,1756724399999,59422444.848600,40752,175582.04,34931836.622400,0
1756724400000,199.3900,199.5700,198.8900,199.0100,277256.15,1756725299999,55261400.578100,32035,151046.02,30112188.366400,0
1756725300000,199.0200,199.3900,198.8100,199.1000,177393.82,1756726199999,35329538.307500,22562,96564.37,19232602.256400,0
1756726200000,199.1000,199.2300,198.5500,198.5800,203754.97,1756727099999,40525354.074600,31787,75691.63,15056881.692600,0
1756727100000,198.5900,199.3800,198.5900,199.2900,148871.38,1756727999999,29633063.343100,24343,77485.25,15425177.036300,0
1756728000000,199.3000,199.7900,198.6800,199.6100,225105.09,1756728899999,44901443.613000,30162,122393.19,24417891.827200,0
1756728900000,199.6200,200.2200,199.2700,199.8900,176355.12,1756729799999,35240490.537400,28744,102242.46,20432687.509300,0
1756729800000,199.8900,200.3900,199.5100,199.5400,230772.29,1756730699999,46156902.339500,32653,112247.63,22454860.079100,0
1756730700000,199.5500,200.0000,199.1600,199.5200,177057.72,1756731599999,35325924.182300,31084,90347.76,18027154.496600,0
1756731600000,199.5300,200.2700,198.9600,199.8200,270836.97,1756732499999,54094924.058100,40215,124600.28,24891689.520400,0
1756732500000,199.8200,201.0800,199.2600,200.6900,362791.78,1756733399999,72738106.661800,43820,224038.71,44920674.570000,0
1756733400000,200.6900,200.7800,199.5300,199.6000,222117.69,1756734299999,44442271.050600,43934,74733.28,14955750.330900,0
1756734300000,199.6000,200.1200,198.8100,199.6000,260717.83,1756735199999,51989520.660400,47084,102565.06,20458889.190000,0
1756735200000,199.6000,200.6500,199.4700,200.4200,278011.09,1756736099999,55652403.964800,36979,139504.55,27923876.138000,0
1756736100000,200.4100,200.6100,199.7600,200.0000,124741.04,1756736999999,24964303.350000,25702,65550.50,13121909.520900,0
1756737000000,200.0000,200.1500,199.1700,199.7200,146526.54,1756737899999,29239168.190500,31285,68935.49,13757663.195400,0
1756737900000,199.7200,200.3500,198.9700,200.1400,221510.59,1756738799999,44214998.568700,32310,102595.66,20481430.273900,0
1756738800000,200.1400,200.8200,199.3600,199.8100,249303.22,1756739699999,49887460.762200,39239,117807.48,23585089.388200,0
1756739700000,199.8200,200.1700,198.7500,199.0600,235307.71,1756740599999,46892528.913800,32987,112186.49,22361279.396400,0
1756740600000,199.0600,199.2800,198.2500,198.3200,274532.95,1756741499999,54551116.866550,40719,103438.30,20556583.020700,0
1756741500000,198.3200,198.8600,197.5500,198.2600,348098.87,1756742399999,68931890.069500,48965,140564.55,27834822.955200,0
1756742400000,198.2500,198.6000,197.3400,198.5800,283913.61,1756743299999,56224071.753800,46573,147410.01,29195715.230900,0
1756743300000,198.5900,198.9100,197.9500,198.4000,173818.13,1756744199999,34503834.367100,33969,90598.67,17979465.538300,0
1756744200000,198.4100,198.6000,197.5700,198.2500,211984.63,1756745099999,41992190.785800,37532,79995.87,15850271.659500,0
1756745100000,198.2500,198.8300,197.9100,198.4600,137869.29,1756745999999,27352861.259000,29598,62814.19,12462727.735900,0
1756746000000,198.4600,199.0400,197.3300,197.9100,284694.18,1756746899999,56418907.278100,48750,141386.38,28022724.185700,0
1756746900000,197.9100,198.5100,197.4100,198.0100,195853.96,1756747799999,38771793.555700,36328,110960.02,21966000.068100,0
1756747800000,198.0100,198.2800,197.2000,197.9200,259327.77,1756748699999,51274114.291600,38928,142691.06,28215272.519400,0
1756748700000,197.9100,198.7500,197.4100,198.4600,219304.33,1756749599999,43466926.242100,29691,98388.57,19495278.577900,0
1756749600000,198.4600,199.1800,198.3300,199.0000,231742.97,1756750499999,46068926.098800,31998,120516.50,23955340.485400,0
1756750500000,199.0000,199.2800,198.5300,198.7400,141948.32,1756751399999,28234015.908900,26395,72204.25,14362178.327900,0
1756751400000,198.7500,199.2000,198.3600,199.0200,92399.94,1756752299999,18373614.459600,22054,51236.23,10188816.717400,0
1756752300000,199.0300,199.4400,198.8000,199.1400,103574.94,1756753199999,20629244.137700,21914,50550.73,10069114.437300,0
1756753200000,199.1400,199.6900,199.0400,199.5200,117444.52,1756754099999,23421635.855900,22147,61231.09,12213251.083200,0
1756754100000,199.5300,199.7900,199.0900,199.0900,112335.43,1756754999999,22410831.027700,18471,46837.88,9346169.601500,0
1756755000000,199.0900,199.9000,199.0800,199.8300,89700.91,1756755899999,17912246.931800,18480,45601.86,9105278.972600,0
1756755900000,199.8400,200.0900,199.5200,200.0800,102340.10,1756756799999,20453215.759200,17161,45356.60,9066530.007500,0
1756756800000,200.0800,200.1000,199.3900,199.6000,109151.34,1756757699999,21801235.977900,18785,30627.30,6117001.820100,0
1756757700000,199.6100,199.6900,199.2300,199.5900,108877.31,1756758599999,21717147.585200,17772,41414.47,8260344.822900,0
1756758600000,199.5900,199.7300,196.3200,196.4300,619003.38,1756759499999,122416495.281340,63570,226484.94,44785989.033700,0
1756759500000,196.4200,197.7000,196.0200,197.6300,764161.49,1756760399999,150495403.756900,81422,406143.55,79992815.101800,0
1756760400000,197.6400,197.7000,196.4300,197.0000,394412.34,1756761299999,77714460.791400,45823,166570.33,32824896.685900,0
1756761300000,197.0100,197.4000,195.6300,195.9300,468192.86,1756762199999,91895134.204300,50541,153106.03,30055481.331400,0
1756762200000,195.9400,196.1000,194.5000,194.5700,671674.12,1756763099999,131160097.614150,67999,256350.99,50083542.230400,0
1756763100000,194.5600,195.4600,194.3100,194.9700,348563.34,1756763999999,67912050.522600,46608,188402.99,36717441.116900,0
1756764000000,194.9700,195.1100,194.3300,194.5800,379596.57,1756764899999,73881997.758800,51040,222405.55,43288419.432000,0
1756764900000,194.5800,195.4400,194.4800,194.5900,255140.56,1756765799999,49720231.029000,32461,145234.81,28304086.512800,0
1756765800000,194.5900,195.2000,194.0600,194.2100,268577.42,1756766699999,52253152.646500,36499,117800.34,22928402.459200,0
1756766700000,194.2000,195.8800,194.0600,195.6700,338131.42,1756767599999,66017148.777900,37184,195037.83,38073890.057500,0
1756767600000,195.6600,196.4500,195.6500,196.2300,412471.81,1756768499999,80881246.590200,39619,222162.22,43563744.578400,0
1756768500000,196.2200,196.2500,195.5700,196.1900,155278.74,1756769399999,30422002.195100,25792,68434.11,13408661.340300,0
1756769400000,196.1900,196.4000,195.3800,196.3800,137328.28,1756770299999,26910011.415500,28310,71629.22,14038686.161800,0
