ema_period,atr_period,multiplier,0
2,11,1.0,48.421052631578945
2,33,1.0,47.73662551440329
2,48,1.0,48.26388888888889
2,49,1.0,48.09688581314879
3,12,2.6169340863847097,-0.0
3,49,1.0,51.1354079058032
9,15,1.543790486474231,49.899193548387096
9,49,1.0,50.138563206139416
11,22,1.7130483153955438,49.69418960244648
11,28,2.1029996596961253,49.586776859504134
11,49,1.0,51.58017947717518
13,15,5.7911231100967235,-0.0
13,25,1.2575817441180213,50.65123010130246
13,37,5.205376795772351,-0.0
13,49,1.0,52.45720596355604
15,49,1.0,52.54748801704243
16,19,2.709280885945858,51.21951219512195
16,49,1.0,52.88951343755489
17,49,1.0,53.10368945619863
18,22,4.5657062371816455,41.605839416058394
18,49,1.0,52.96064089167537
19,27,9.478388031540698,-0.0
19,29,1.2587764380093103,52.17574989438107
19,49,1.0,52.839721254355396
20,49,1.0,53.37637410574071
21,49,1.0,53.31815794081597
23,32,8.38140945416139,-0.0
23,49,1.0,53.96853455895351
24,49,1.0,53.910564760377696
25,49,1.0,53.791257805530776
27,20,3.9757253810412645,46.172248803827756
27,49,1.0,54.42946990116801
28,49,1.0,54.44303107395966
30,29,9.209031112814111,-0.0
30,49,1.0,54.82326951399117
31,49,1.0,54.771630152246566
32,49,1.0,54.951420029895374
33,29,7.6936420471471125,-0.0
33,42,8.754644040855654,-0.0
33,49,1.0,55.11929363141086
34,41,6.820482883069929,43.18181818181818
35,49,1.0,55.23444976076555
36,49,1.0,55.149758454106276
37,49,1.0,54.96020190254319
38,13,6.46639889041077,-0.0
38,49,1.0,55.183881064162755
39,11,3.0036392242477787,53.337612323491655
39,13,2.1588313403600674,51.837398373983746
39,34,7.123970006540713,-0.0
39,49,1.0,55.21858999606144
40,36,9.22358769552482,-0.0
40,49,1.0,55.32293106853644
41,49,1.0,54.85590209238058
42,49,1.0,54.7860696517413
43,49,1.0,54.62235649546828
44,49,1.0,54.760460885385086
45,16,1.49038394576386,53.048916685280325
45,35,8.747578692899017,-0.0
45,49,1.0,54.361054766734284
46,49,1.0,54.10539215686274
47,49,1.0,54.01849948612538
48,49,1.0,54.43664878250103
