ema_period,atr_period,multiplier,0
5,10,0.5,527100.0
5,14,0.5,509400.00000000006
10,12,4.633351073328958,0.0
11,13,12.145487023894077,-0.0
12,13,4.351238045434208,1100.0
13,17,15.909068718982617,-0.0
16,10,0.5,488600.0
17,18,9.182886559879199,-0.0
18,13,18.933997487548655,-0.0
21,13,12.201208278288732,-0.0
23,13,9.8466917062977,-0.0
27,11,16.049985703358313,-0.0
30,14,16.28842332992611,-0.0
31,10,0.5,361099.99999999994
33,11,4.321677606874336,11300.0
33,17,12.37014819141515,-0.0
34,13,16.561858541475527,-0.0
38,17,14.259926560247418,-0.0
47,12,0.5,297299.99999999994
49,11,12.778335288968316,-0.0
49,12,0.5,288100.00000000006
52,16,0.7515089433444588,274600.00000000006
55,10,12.351922522240054,-0.0
56,13,14.351172762287941,-0.0
61,12,9.472111198152746,-0.0
64,11,15.594326864741966,-0.0
64,15,5.011704231123121,28500.0
66,12,0.5205095164439828,248400.0
68,14,16.267678673406053,-0.0
69,16,2.8083298557596006,129700.0
70,15,18.112340213401637,-0.0
75,19,4.056257902273709,66800.0
76,15,14.601892618597217,-0.0
77,13,2.8196641563856484,132400.0
84,10,18.156542636923664,-0.0
85,11,8.976882038929483,100.0
86,11,18.476666382655445,-0.0
89,14,12.308890401381987,-0.0
91,13,1.3677522826439072,183400.0
92,18,17.450943167185795,-0.0
93,13,0.5,199600.0
94,13,10.733090316958481,100.0
105,12,1.700946947044627,169799.99999999997
107,16,8.172060215027868,2300.0
107,16,15.162318059361144,-0.0
108,16,8.281175438107654,1800.0
109,14,8.124562314572964,3100.0
111,14,1.872119263577506,163000.0
112,13,17.484724445892297,-0.0
114,14,18.665343094719784,-0.0
115,11,7.992633846368864,5200.0
115,12,13.749497116347829,-0.0
115,14,2.6694787832904416,133700.0
118,15,14.50466527595928,-0.0
123,11,6.737830456088406,20300.0
124,10,5.128657330528013,58200.0
126,15,2.981885880450718,121500.00000000001
129,13,2.538890493397961,135000.0
131,16,1.5461624404635184,152000.0
134,14,12.905291592967892,100.0
135,16,0.912263669221774,160000.0
139,15,3.4116077363914723,113099.99999999999
139,18,5.958390538298979,44900.0
141,16,0.5,156500.00000000003
144,15,0.5,155500.0
154,15,18.229197977883185,-0.0
155,19,14.958164184159497,-0.0
157,13,17.38394658813788,-0.0
158,12,7.909242930690265,15300.000000000002
159,10,14.969597501415505,-0.0
162,11,5.475477166811608,60900.0
172,11,0.6892047266974445,138400.0
177,12,18.438527985791627,-0.0
177,16,12.74649657617942,400.0
191,12,11.185146163557798,2999.9999999999995
192,12,15.342158072331747,200.0
192,19,15.0344346523504,100.0
194,18,17.02628054854763,-0.0
197,18,6.651691500397698,47100.0
203,12,5.088228232110043,76400.0
